Timestamp,Row,Col,x,y,z,distance,IMU_x,IMU_y,IMU_z,IMU_roll,IMU_pitch,IMU_yaw,LiDAR_x,LiDAR_y,LiDAR_z,LiDAR_roll,LiDAR_pitch,LiDAR_yaw,EKF_x,EKF_y,EKF_z,EKF_roll,EKF_pitch,EKF_yaw
70173,4,5,2785.82,-354.68,51.02,2790,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,4,6,515.43,-211.27,325.55,525,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,4,7,512.67,-274.61,319.35,518,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,5,0,2042.99,973.13,25.85,2147,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,5,1,2621.98,922.54,-112.25,2727,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,5,2,2671.63,610.39,-153.36,2756,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,5,3,2680.61,297.74,-185.16,2744,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,5,4,2664.41,-9.20,-210.61,2707,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,5,5,1277.10,-203.89,90.24,1296,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,5,6,517.03,-205.93,265.02,530,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,5,7,507.27,-267.73,261.39,516,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,6,0,2001.78,985.61,-217.92,2119,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,6,1,2556.44,937.63,-417.30,2678,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,6,2,497.35,41.44,229.43,530,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,6,3,513.06,-16.45,218.87,542,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,6,4,1252.64,-41.76,-43.61,1290,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,6,5,1269.31,-187.75,-62.17,1297,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,6,6,514.44,-199.48,202.47,531,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,6,7,511.83,-263.74,197.80,524,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,7,0,1326.89,646.24,-193.09,1421,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,7,1,1306.35,454.85,-198.13,1387,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,7,2,1408.53,319.29,-258.12,1482,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,7,3,1312.18,133.06,-226.10,1371,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,7,4,1297.00,-21.23,-230.82,1345,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,7,5,1234.35,-169.07,-212.09,1271,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
